x,exact,equidistant,chebyshev
-0.258,-0.232271,-0.605189,-0.86192
-0.257,-0.231727,-0.606576,-0.864609
-0.256,-0.231178,-0.607957,-0.8673
-0.255,-0.230622,-0.609333,-0.869993
-0.254,-0.23006,-0.610704,-0.872687
-0.253,-0.229493,-0.61207,-0.875384
-0.252,-0.22892,-0.613431,-0.878082
-0.251,-0.228342,-0.614787,-0.880783
-0.25,-0.227758,-0.616137,-0.883485
-0.249,-0.227168,-0.617482,-0.886189
-0.248,-0.226573,-0.618821,-0.888894
-0.247,-0.225973,-0.620155,-0.891601
-0.246,-0.225367,-0.621483,-0.89431
-0.245,-0.224755,-0.622805,-0.89702
-0.244,-0.224138,-0.624121,-0.899732
-0.243,-0.223516,-0.625431,-0.902445
-0.242,-0.222889,-0.626735,-0.905159
-0.241,-0.222256,-0.628033,-0.907875
-0.24,-0.221618,-0.629325,-0.910592
-0.239,-0.220975,-0.63061,-0.913311
-0.238,-0.220327,-0.631889,-0.91603
-0.237,-0.219673,-0.633162,-0.918751
-0.236,-0.219015,-0.634427,-0.921473
-0.235,-0.218352,-0.635686,-0.924196
-0.234,-0.217683,-0.636938,-0.926919
-0.233,-0.21701,-0.638184,-0.929644
-0.232,-0.216332,-0.639422,-0.93237
-0.231,-0.215649,-0.640653,-0.935096
-0.23,-0.214961,-0.641877,-0.937824
-0.229,-0.214269,-0.643093,-0.940552
-0.228,-0.213571,-0.644302,-0.94328
-0.227,-0.21287,-0.645504,-0.94601
-0.226,-0.212163,-0.646698,-0.94874
-0.225,-0.211452,-0.647884,-0.95147
-0.224,-0.210736,-0.649062,-0.954201
-0.223,-0.210016,-0.650233,-0.956932
-0.222,-0.209291,-0.651395,-0.959664
-0.221,-0.208562,-0.65255,-0.962396
-0.22,-0.207829,-0.653696,-0.965128
-0.219,-0.207091,-0.654833,-0.96786
-0.218,-0.206349,-0.655963,-0.970593
-0.217,-0.205603,-0.657083,-0.973325
-0.216,-0.204852,-0.658195,-0.976058
-0.215,-0.204097,-0.659299,-0.97879
-0.214,-0.203339,-0.660393,-0.981523
-0.213,-0.202576,-0.661479,-0.984255
-0.212,-0.201809,-0.662555,-0.986987
-0.211,-0.201038,-0.663622,-0.989719
-0.21,-0.200263,-0.66468,-0.99245
-0.209,-0.199484,-0.665728,-0.995181
-0.208,-0.198702,-0.666767,-0.997911
-0.207,-0.197915,-0.667797,-1.00064
-0.206,-0.197125,-0.668816,-1.00337
-0.205,-0.196331,-0.669826,-1.0061
-0.204,-0.195534,-0.670825,-1.00883
-0.203,-0.194733,-0.671815,-1.01156
-0.202,-0.193928,-0.672794,-1.01428
-0.201,-0.19312,-0.673763,-1.01701
-0.2,-0.192308,-0.674721,-1.01973
-0.199,-0.191492,-0.675669,-1.02246
-0.198,-0.190674,-0.676606,-1.02518
-0.197,-0.189851,-0.677533,-1.0279
-0.196,-0.189026,-0.678448,-1.03062
-0.195,-0.188197,-0.679353,-1.03334
-0.194,-0.187365,-0.680246,-1.03606
-0.193,-0.18653,-0.681128,-1.03877
-0.192,-0.185691,-0.681998,-1.04149
-0.191,-0.18485,-0.682857,-1.0442
-0.19,-0.184005,-0.683704,-1.04691
-0.189,-0.183157,-0.68454,-1.04962
-0.188,-0.182307,-0.685363,-1.05233
-0.187,-0.181453,-0.686175,-1.05504
-0.186,-0.180596,-0.686974,-1.05774
-0.185,-0.179737,-0.687761,-1.06044
-0.184,-0.178874,-0.688536,-1.06314
-0.183,-0.178009,-0.689298,-1.06584
-0.182,-0.177141,-0.690047,-1.06854
-0.181,-0.17627,-0.690784,-1.07123
-0.18,-0.175397,-0.691507,-1.07392
-0.179,-0.174521,-0.692218,-1.07661
-0.178,-0.173642,-0.692915,-1.0793
-0.177,-0.172761,-0.693599,-1.08198
-0.176,-0.171877,-0.694269,-1.08466
-0.175,-0.170991,-0.694926,-1.08734
-0.174,-0.170102,-0.695569,-1.09002
-0.173,-0.169211,-0.696198,-1.09269
-0.172,-0.168317,-0.696813,-1.09536
-0.171,-0.167421,-0.697414,-1.09803
-0.17,-0.166523,-0.698001,-1.10069
-0.169,-0.165622,-0.698573,-1.10335
-0.168,-0.16472,-0.69913,-1.10601
-0.167,-0.163815,-0.699673,-1.10867
-0.166,-0.162907,-0.700201,-1.11132
-0.165,-0.161998,-0.700714,-1.11397
-0.164,-0.161087,-0.701212,-1.11661
-0.163,-0.160173,-0.701695,-1.11925
-0.162,-0.159258,-0.702162,-1.12189
-0.161,-0.15834,-0.702613,-1.12452
-0.16,-0.157421,-0.703049,-1.12715
-0.159,-0.156499,-0.703469,-1.12978
-0.158,-0.155576,-0.703872,-1.1324
-0.157,-0.154651,-0.70426,-1.13502
-0.156,-0.153724,-0.704631,-1.13763
-0.155,-0.152795,-0.704986,-1.14024
-0.154,-0.151865,-0.705324,-1.14284
-0.153,-0.150932,-0.705646,-1.14544
-0.152,-0.149998,-0.70595,-1.14804
-0.151,-0.149063,-0.706237,-1.15063
-0.15,-0.148125,-0.706507,-1.15322
-0.149,-0.147186,-0.70676,-1.1558
-0.148,-0.146246,-0.706995,-1.15838
-0.147,-0.145304,-0.707212,-1.16095
-0.146,-0.14436,-0.707412,-1.16352
-0.145,-0.143415,-0.707593,-1.16608
-0.144,-0.142469,-0.707757,-1.16863
